xflr5 v6.49

 Calculated polar for: Aerofoil1494

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4683, 0.01172, 0.00401,-0.1541,0.7129,0.2315,-1.3596, 0.0000, 0.5808
 -1.000, 0.5773, 0.01191, 0.00390,-0.1531,0.6869,0.3080,-0.7719, 0.0000, 0.5154
  0.000, 0.6834, 0.01211, 0.00392,-0.1516,0.6613,0.3543,-0.8407, 0.0000, 0.4707
  1.000, 0.7895, 0.01230, 0.00413,-0.1503,0.6403,0.3919,-0.9149, 0.0000, 0.4382
  2.000, 0.8955, 0.01260, 0.00441,-0.1490,0.6172,0.4303,-1.0178, 0.0000, 0.4131
  3.000, 0.9963, 0.01280, 0.00496,-0.1469,0.5945,0.4941,-1.1887, 0.0000, 0.3929
  5.000, 1.1887, 0.01320, 0.00610,-0.1403,0.5194,1.0000,-1.6177, 0.0000, 0.3610
  6.000, 1.2758, 0.01408, 0.00701,-0.1355,0.4726,1.0000,-1.8670, 0.0000, 0.3478
  7.000, 1.3450, 0.01538, 0.00827,-0.1275,0.3919,1.0000,-2.2301, 0.0000, 0.3350
  8.000, 1.3708, 0.01799, 0.01044,-0.1123,0.2781,1.0000,-2.7148, 0.0000, 0.3207
  9.000, 1.3896, 0.02156, 0.01379,-0.0981,0.2009,1.0000,-3.2220, 0.0000, 0.3079
 10.000, 1.4094, 0.02590, 0.01810,-0.0866,0.1480,1.0000,-3.7763, 0.0000, 0.2972
 11.000, 1.4286, 0.03128, 0.02357,-0.0778,0.1092,1.0000,-4.6188, 0.0000, 0.2885
 12.000, 1.4426, 0.03824, 0.03059,-0.0710,0.0641,1.0000,-5.4591, 0.0000, 0.2815
 13.000, 1.4322, 0.04901, 0.04125,-0.0658,0.0221,1.0000,-6.0982, 0.0000, 0.2763
 14.000, 1.4313, 0.06050, 0.05329,-0.0637,0.0174,1.0000,-6.8100, 0.0000, 0.2728
 15.000, 1.4160, 0.07566, 0.06902,-0.0648,0.0153,1.0000,-7.3795, 0.0000, 0.2720


