xflr5 v6.49

 Calculated polar for: Aerofoil5033

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.4106, 0.01523, 0.00700,-0.1438,0.7114,0.0412,-1.9525, 0.0000, 0.6022
 -1.000, 0.5165, 0.01395, 0.00541,-0.1420,0.6863,0.0506,-1.4565, 0.0000, 0.5250
  0.000, 0.6198, 0.01326, 0.00465,-0.1395,0.6610,0.0692,-1.0217, 0.0000, 0.4739
  1.000, 0.7238, 0.01290, 0.00445,-0.1374,0.6403,0.1229,-0.8890, 0.0000, 0.4374
  2.000, 0.8273, 0.01277, 0.00468,-0.1353,0.6176,0.3000,-0.9850, 0.0000, 0.4100
  3.000, 0.9439, 0.01193, 0.00514,-0.1359,0.5952,1.0000,-1.1655, 0.0000, 0.3893
  4.000, 1.0361, 0.01245, 0.00538,-0.1310,0.5566,1.0000,-1.3556, 0.0000, 0.3706
  5.000, 1.1270, 0.01310, 0.00593,-0.1262,0.5225,1.0000,-1.5720, 0.0000, 0.3549
  6.000, 1.2106, 0.01387, 0.00663,-0.1201,0.4797,1.0000,-1.8067, 0.0000, 0.3409
  7.000, 1.2784, 0.01493, 0.00755,-0.1111,0.4135,1.0000,-2.0409, 0.0000, 0.3273
  8.000, 1.3027, 0.01703, 0.00915,-0.0948,0.3110,1.0000,-2.3579, 0.0000, 0.3118
  9.000, 1.3211, 0.02019, 0.01195,-0.0799,0.2313,1.0000,-2.7306, 0.0000, 0.2981
 10.000, 1.3463, 0.02381, 0.01550,-0.0682,0.1840,1.0000,-3.1356, 0.0000, 0.2868
 11.000, 1.3691, 0.02834, 0.02005,-0.0584,0.1515,1.0000,-3.5442, 0.0000, 0.2772
 12.000, 1.3946, 0.03356, 0.02540,-0.0511,0.1248,1.0000,-3.9730, 0.0000, 0.2695
 13.000, 1.4181, 0.03970, 0.03170,-0.0454,0.1023,1.0000,-4.4284, 0.0000, 0.2630
 14.000, 1.4375, 0.04697, 0.03916,-0.0413,0.0825,1.0000,-4.8771, 0.0000, 0.2578
 15.000, 1.4508, 0.05574, 0.04813,-0.0387,0.0636,1.0000,-5.2970, 0.0000, 0.2537


