xflr5 v6.49

 Calculated polar for: NACA 4421

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.2082, 0.01669, 0.00736,-0.0924,0.6380,0.3050,-0.9794, 0.0000, 0.7031
 -1.000, 0.3084, 0.01640, 0.00711,-0.0901,0.6059,0.3718,-0.9809, 0.0000, 0.5433
  0.000, 0.4053, 0.01612, 0.00718,-0.0872,0.5772,0.4878,-1.0682, 0.0000, 0.4620
  1.000, 0.5011, 0.01608, 0.00760,-0.0837,0.5527,0.6490,-1.1595, 0.0000, 0.4110
  2.000, 0.5983, 0.01640, 0.00820,-0.0799,0.5298,0.7953,-1.2603, 0.0000, 0.3753
  4.000, 0.8667, 0.01825, 0.00995,-0.0887,0.4858,0.9869,-1.5352, 0.0000, 0.3411
  5.000, 0.9561, 0.01914, 0.01073,-0.0859,0.4667,1.0000,-1.6551, 0.0000, 0.3270
  6.000, 1.0237, 0.02007, 0.01143,-0.0783,0.4484,1.0000,-1.7691, 0.0000, 0.3121
  7.000, 1.0796, 0.02125, 0.01266,-0.0690,0.4289,1.0000,-1.8831, 0.0000, 0.2978
  8.000, 1.1437, 0.02287, 0.01432,-0.0621,0.4095,1.0000,-2.0168, 0.0000, 0.2865
  9.000, 1.2089, 0.02473, 0.01620,-0.0560,0.3896,1.0000,-2.1683, 0.0000, 0.2769
 10.000, 1.2673, 0.02703, 0.01849,-0.0499,0.3682,1.0000,-2.3352, 0.0000, 0.2680
 11.000, 1.3075, 0.03053, 0.02218,-0.0428,0.3456,1.0000,-2.4981, 0.0000, 0.2594
 12.000, 1.3413, 0.03502, 0.02688,-0.0366,0.3223,1.0000,-2.6696, 0.0000, 0.2519
 13.000, 1.3647, 0.04091, 0.03293,-0.0311,0.2984,1.0000,-2.8376, 0.0000, 0.2452
 14.000, 1.3776, 0.04856, 0.04075,-0.0268,0.2740,1.0000,-3.0032, 0.0000, 0.2395
 15.000, 1.3803, 0.05812, 0.05051,-0.0240,0.2497,1.0000,-3.1501, 0.0000, 0.2349


